//This is new LogFile[INFO]        com.revature.ers.controllers.UserController       <Login Succesfull!>             21-December-2020 Monday EST 23:28:52                
[INFO]        com.revature.ers.controllers.UserController       ErsUser [userId=7, username=emp1, password=, firstname=Mary, lastname=Grace, email=magr@outlook.com, role=ErsUserRole [userRoleId=1, userRole=EMPLOYEE]]             21-December-2020 Monday EST 23:28:52                
[WARN]        com.revature.ers.controllers.EmployeeController       <Request All Reimbursment Failed!>             21-December-2020 Monday EST 23:29:14                
[WARN]        com.revature.ers.controllers.EmployeeController       No Reimbursment Record Found for This User             21-December-2020 Monday EST 23:29:14                
[INFO]        com.revature.ers.controllers.EmployeeController       <Submited Reibursment Successfully!>             21-December-2020 Monday EST 23:29:38                
[INFO]        com.revature.ers.controllers.EmployeeController       ErsReimbursment [reimbId=0, amount=100.0, submitted=null, resolved=null, description=Buy lunch, author=ErsUser [userId=7, username=emp1, password=, firstname=Mary, lastname=Grace, email=magr@outlook.com, role=ErsUserRole [userRoleId=1, userRole=EMPLOYEE]], resolver=null, status=ErsRedimbursementStatus [statusId=100, status=], type=ErsReimbursmentType [typeId=3, type=]]             21-December-2020 Monday EST 23:29:38                
[INFO]        com.revature.ers.controllers.EmployeeController       <Submited Reibursment Successfully!>             21-December-2020 Monday EST 23:30:06                
[INFO]        com.revature.ers.controllers.EmployeeController       ErsReimbursment [reimbId=0, amount=4500.25, submitted=null, resolved=null, description=travel expense for training, author=ErsUser [userId=7, username=emp1, password=, firstname=Mary, lastname=Grace, email=magr@outlook.com, role=ErsUserRole [userRoleId=1, userRole=EMPLOYEE]], resolver=null, status=ErsRedimbursementStatus [statusId=100, status=], type=ErsReimbursmentType [typeId=2, type=]]             21-December-2020 Monday EST 23:30:06                
[INFO]        com.revature.ers.controllers.EmployeeController       <Submited Reibursment Successfully!>             21-December-2020 Monday EST 23:30:32                
[INFO]        com.revature.ers.controllers.EmployeeController       ErsReimbursment [reimbId=0, amount=20.11, submitted=null, resolved=null, description=, author=ErsUser [userId=7, username=emp1, password=, firstname=Mary, lastname=Grace, email=magr@outlook.com, role=ErsUserRole [userRoleId=1, userRole=EMPLOYEE]], resolver=null, status=ErsRedimbursementStatus [statusId=100, status=], type=ErsReimbursmentType [typeId=4, type=]]             21-December-2020 Monday EST 23:30:32                
[INFO]        com.revature.ers.controllers.UserController       <Login Succesfull!>             21-December-2020 Monday EST 23:30:44                
[INFO]        com.revature.ers.controllers.UserController       ErsUser [userId=8, username=emp2, password=, firstname=Thomas, lastname=Brown, email=thobr@yahoo.com.com, role=ErsUserRole [userRoleId=1, userRole=EMPLOYEE]]             21-December-2020 Monday EST 23:30:44                
[INFO]        com.revature.ers.controllers.EmployeeController       <Submited Reibursment Successfully!>             21-December-2020 Monday EST 23:31:05                
